stock_id,rank
601899,1
603993,2
601838,3
601138,4
601600,5
601318,6
300760,7
300896,8
002179,9
601006,10
000408,11
000807,12
600377,13
601698,14
688472,15
603369,16
688169,17
600436,18
601668,19
600941,20
600161,21
603392,22
601618,23
601766,24
002709,25
601669,26
601728,27
605499,28
001391,29
600919,30
601658,31
601868,32
603195,33
600600,34
688036,35
601077,36
601319,37
601633,38
600362,39
601456,40
601288,41
600415,42
601998,43
002352,44
300999,45
600926,46
688271,47
601390,48
600104,49
002304,50
