stock_id,rank
002384,1
300394,2
600176,3
000338,4
300408,5
605117,6
601658,7
300502,8
600489,9
601229,10
601009,11
600183,12
300308,13
300442,14
600522,15
600115,16
002916,17
600482,18
002938,19
601288,20
600875,21
002027,22
600030,23
600029,24
601169,25
603993,26
601319,27
601988,28
000975,29
601818,30
601668,31
601881,32
001979,33
600919,34
603259,35
600438,36
601377,37
601916,38
002493,39
601111,40
601688,41
603296,42
600999,43
600188,44
601728,45
601058,46
000166,47
601998,48
603986,49
605499,50
