stock_id,rank
601872,1
600026,2
600482,3
300442,4
600875,5
600989,6
600522,7
600176,8
002384,9
605117,10
000338,11
601818,12
601899,13
601169,14
600900,15
601398,16
601658,17
600919,18
601668,19
601939,20
601328,21
605499,22
002648,23
002493,24
600584,25
601816,26
601766,27
601058,28
600489,29
601166,30
603993,31
600115,32
601111,33
688506,34
000975,35
300394,36
601998,37
688012,38
601077,39
600023,40
600346,41
601988,42
600015,43
601898,44
601298,45
601021,46
601838,47
600426,48
600027,49
002001,50
