stock_id,rank
601899,1
601698,2
603993,3
601838,4
601728,5
601658,6
601600,7
300760,8
300896,9
600919,10
600377,11
601006,12
603392,13
601766,14
601633,15
601077,16
603369,17
601998,18
600941,19
601868,20
603195,21
601318,22
001391,23
688036,24
601668,25
002179,26
601398,27
605499,28
601816,29
002352,30
601169,31
300866,32
600600,33
600036,34
600000,35
600048,36
600905,37
601601,38
601138,39
000408,40
600926,41
601456,42
688169,43
600104,44
300832,45
300999,46
601669,47
600900,48
688271,49
002304,50
