stock_id,rank
600026,1
601872,2
600482,3
300442,4
600176,5
600875,6
600023,7
002648,8
600426,9
601018,10
002493,11
600989,12
600522,13
600938,14
600926,15
601077,16
601088,17
000338,18
601939,19
600233,20
002001,21
000708,22
000792,23
600919,24
600015,25
601919,26
600346,27
600188,28
601169,29
600803,30
001391,31
601298,32
600027,33
600584,34
000975,35
601456,36
601127,37
688012,38
002252,39
601211,40
688303,41
003816,42
600011,43
601059,44
600377,45
601881,46
688506,47
688981,48
600918,49
600886,50
