stock_id,score,rank
600875,0.25472906,1
300502,0.25455514,2
300394,0.2483149,3
603986,0.24827415,4
688256,0.24819754,5
601138,0.24696663,6
600176,0.24599968,7
603993,0.24536498,8
300476,0.24444275,9
688008,0.24373314,10
002916,0.24318111,11
688041,0.24316463,12
603296,0.24281839,13
603260,0.24276702,14
600183,0.24092464,15
600115,0.24072994,16
688981,0.24053888,17
688126,0.2381435,18
688506,0.23686972,19
300896,0.23677509,20
002384,0.23637487,21
002463,0.23590635,22
300308,0.2334178,23
002466,0.23288384,24
300442,0.23263872,25
600026,0.2326217,26
600438,0.23210512,27
600346,0.23197632,28
601127,0.2319737,29
601872,0.23155002,30
603893,0.23091315,31
002493,0.23079036,32
002938,0.23055944,33
300274,0.23003767,34
600460,0.2298243,35
002050,0.22947098,36
000408,0.22900192,37
002049,0.22892602,38
000630,0.22888096,39
002241,0.2288703,40
600482,0.22869475,41
603019,0.22869235,42
688396,0.2269512,43
601899,0.22658989,44
600584,0.2261712,45
002230,0.22593631,46
601336,0.22552493,47
301269,0.22503178,48
600188,0.22494139,49
000977,0.22455163,50
300418,0.2244819,51
601111,0.2243519,52
688472,0.22241755,53
301236,0.22208469,54
300316,0.22075641,55
300033,0.2206708,56
002028,0.22028415,57
002459,0.21996924,58
300408,0.2197082,59
000807,0.21943244,60
000338,0.21918991,61
600489,0.21802087,62
000776,0.21792918,63
300014,0.21792218,64
002460,0.2177706,65
300433,0.21777043,66
002709,0.21772735,67
688169,0.21708147,68
600522,0.21651812,69
605117,0.21636568,70
603799,0.21626751,71
600588,0.21612056,72
002600,0.2160502,73
600029,0.21595548,74
300251,0.21589847,75
688223,0.21521172,76
600150,0.21519645,77
688047,0.21490408,78
000975,0.21476546,79
002625,0.21451284,80
300661,0.21422316,81
002714,0.21330471,82
601360,0.21302538,83
300750,0.21295659,84
600426,0.21259595,85
002475,0.21216042,86
300782,0.21211873,87
601698,0.21158265,88
600958,0.21142998,89
300866,0.21053776,90
600111,0.21035415,91
000938,0.20962043,92
601628,0.20855865,93
688012,0.20798871,94
000063,0.20776887,95
600547,0.20658997,96
688303,0.20587978,97
300413,0.20561714,98
601100,0.20514894,99
002920,0.20490134,100
601998,0.20448922,101
601058,0.20446153,102
002648,0.20426011,103
688036,0.20306736,104
601021,0.20290986,105
600362,0.20267047,106
300347,0.20266299,107
