stock_id,rank
002384,1
600176,2
600522,3
600482,4
601818,5
605117,6
688256,7
000338,8
300394,9
002463,10
601328,11
601166,12
601169,13
601398,14
601766,15
601136,16
601825,17
601658,18
605499,19
601881,20
601901,21
603986,22
601816,23
300760,24
600039,25
300502,26
601668,27
601127,28
001391,29
603501,30
600183,31
601319,32
601628,33
601916,34
300979,35
601878,36
600115,37
601111,38
300442,39
601872,40
600029,41
600690,42
600036,43
601788,44
601021,45
600900,46
000166,47
601899,48
300308,49
603369,50
