stock_id,rank
601872,1
600026,2
300442,3
600875,4
600522,5
600989,6
600176,7
600938,8
601939,9
600426,10
600482,11
000338,12
002493,13
600023,14
600919,15
605117,16
600346,17
600362,18
601899,19
601698,20
601077,21
600584,22
603993,23
002384,24
600011,25
688012,26
000708,27
000975,28
600900,29
601018,30
601658,31
600893,32
600926,33
688187,34
002648,35
600233,36
601169,37
601668,38
601166,39
000792,40
601390,41
000807,42
601600,43
601998,44
600027,45
603392,46
600219,47
603986,48
603019,49
601328,50
