stock_id,rank
300394,1
601169,2
601939,3
603986,4
601288,5
600919,6
601398,7
601328,8
300442,9
601658,10
601668,11
601818,12
001979,13
600015,14
601919,15
601998,16
601018,17
601229,18
601916,19
300803,20
601077,21
601166,22
601899,23
603392,24
601881,25
300498,26
601838,27
600048,28
688012,29
601601,30
601633,31
601728,32
600600,33
601006,34
600000,35
603369,36
601878,37
601009,38
600918,39
601868,40
601136,41
601788,42
003816,43
601319,44
600025,45
601127,46
603288,47
300760,48
002352,49
002304,50
