模型,累计净值,总收益,平均周超额,Top5命中率(实际进前20%)
沪深300基准,1.037,+3.70%,0.00%,-
ensemble,1.4245,+42.45%,+1.67%,-
model01,1.3665,+36.65%,+1.43%,34.0%
model02,1.2547,+25.47%,+1.02%,38.0%
model03,1.086,+8.60%,+0.27%,33.0%
model04,1.272,+27.20%,+1.09%,32.0%
model05,1.2217,+22.17%,+0.90%,35.0%
model07,0.9869,-1.31%,-0.20%,25.0%
