week_idx,iso_week,end_date,benchmark,ensemble,model01,model02,model03,model04,model05,model07
1,2026-W2,2026-01-09,0.024189052117084203,-0.044754813382904615,0.01878646624588937,0.0049596022945316166,-0.006083073003050242,0.02565413367301348,0.07429330567490736,-0.013096307958754133
2,2026-W3,2026-01-16,0.001875357977204695,0.02879134710554587,-0.0004432253352859475,-0.01473559249775586,0.03125883765545483,0.008108704811407151,0.017578344474656445,0.041234798220800284
3,2026-W4,2026-01-23,0.011544894959834073,-0.005348627860129712,-0.010119761397028585,-0.02485933175309173,0.0070527527936431,-0.0011055396787316113,-0.012071971918853595,0.02229906766721585
4,2026-W5,2026-01-30,-0.0049865719008840926,-0.0021819439836825334,0.04128900029201475,-0.04158912373849353,0.04822479071091627,0.025682970726618893,-0.026703971686058627,-0.04265396500042706
5,2026-W6,2026-02-06,-0.0018835285268029504,-0.0017701831503835865,-0.006531329093230666,-0.036107924066065486,-0.009444093589849236,-0.011414078638132538,-0.04792067041622884,-0.03641299241579099
6,2026-W7,2026-02-13,0.002273542672671881,0.014152043455795042,-0.00886452328060569,-0.029396848090826065,0.03358665654123443,0.013233781884140029,-0.0460371265102255,-0.016312606497073445
7,2026-W9,2026-02-27,0.0017358455449638847,-0.011275271648435371,-0.008677348480524186,-0.004911292697796267,0.013658559745985057,0.04851689148357461,0.0024279040262696495,0.01277329468302118
8,2026-W10,2026-03-06,-0.017175968767893915,-0.03846915611075954,-0.015736851030774733,0.011511071912419088,-0.07796805238061584,-0.03039437097896211,-0.059904479894947495,-0.015353077795840123
9,2026-W11,2026-03-13,0.013113861889431993,0.07382430229787434,0.01264006303919062,-0.006099249936298045,0.04349997241674218,-0.005825581623777299,0.0537678266004951,0.03715973447840719
10,2026-W12,2026-03-20,-0.025553814137813786,0.03386845997096258,0.03313628142609988,0.053823660618757964,-0.04222091224409461,-0.0012171918722853504,0.011450836243829593,-0.032412641499265774
11,2026-W13,2026-03-27,-0.015687412853207214,0.009020888650484317,-0.007637029657020381,-0.020021425592093772,-0.016202193889284906,0.01528980835437325,0.009485942644582112,-0.04321884464848479
12,2026-W14,2026-04-03,0.004313913763771679,0.0747431745618631,0.08723952818234416,0.0453313637594641,0.003327752837420747,-0.03396326614709126,-0.02077813507896034,0.03877801454199085
13,2026-W15,2026-04-10,0.029001943398454296,0.09798777093294063,0.06813857733466658,0.06900789276493582,0.008980159709625629,0.06469731172442869,0.06780502189600417,0.06859099857806338
14,2026-W16,2026-04-17,0.015561053487997497,0.029039354325814615,-0.0005439689797861996,0.040336915508692936,0.030453235325480544,-0.01499104751190793,0.05282819733121121,0.016041661338838848
15,2026-W17,2026-04-24,0.00653128987519987,-0.02587002028395892,0.022226243212238393,0.06577781284452747,-0.034295039690004275,0.0026558254171661624,-0.011589731125248214,-0.014294823923322006
16,2026-W18,2026-04-30,0.008893237424475738,-0.020054723369556007,-0.004016252344800533,0.011297952425982595,-0.020405458064502325,0.01910689572545452,0.02057163209228933,0.004984462592850694
17,2026-W19,2026-05-08,0.0046131931754700385,0.04330491844596791,0.0640620323667099,0.03157559468317293,0.03666489784602922,-0.012155583194555761,0.024717035118056625,0.008009754143324655
18,2026-W20,2026-05-15,-0.0063700892499424415,0.07151921129631345,-0.03214691421175917,0.012603853019267608,0.0048061403696132935,0.12856784200319973,0.09391875745477533,-0.022716749718574587
19,2026-W21,2026-05-22,-0.008456773845381084,0.0604370056994058,0.0383500503969285,0.08666153321747985,0.034301479711315946,0.050460965111129005,0.01239250061001108,-0.04937954792265357
20,2026-W22,2026-05-29,-0.005411908736566243,-0.014223897417024976,0.03283755598575508,-0.013728360169471845,0.0033584779318265394,-0.03530162495971141,0.0015017908126233285,0.03344015023580965
