stock_id,rank
601398,1
601899,2
601288,3
600919,4
603993,5
601601,6
002027,7
601939,8
601668,9
600018,10
003816,11
601868,12
600023,13
601916,14
603392,15
300896,16
601633,17
601658,18
300759,19
600050,20
601698,21
600104,22
601186,23
601117,24
601728,25
300760,26
601998,27
002304,28
603369,29
300251,30
000617,31
300442,32
688036,33
600918,34
600000,35
000166,36
601319,37
000002,38
601878,39
601166,40
601077,41
300498,42
601901,43
600999,44
601006,45
002422,46
600015,47
300347,48
301236,49
300999,50
