stock_id,rank
601872,1
600026,2
600989,3
600875,4
300442,5
600522,6
601698,7
600176,8
600482,9
601899,10
605117,11
603993,12
688012,13
601898,14
000338,15
002384,16
601600,17
601398,18
300394,19
600219,20
600938,21
600489,22
601816,23
600584,24
002648,25
002001,26
601328,27
000975,28
002493,29
600188,30
600919,31
601818,32
601658,33
601668,34
601939,35
600426,36
601988,37
688506,38
603986,39
688223,40
600547,41
600900,42
600893,43
688041,44
601169,45
601077,46
603019,47
688981,48
600115,49
688126,50
