stock_id,rank
601398,1
300442,2
601868,3
688012,4
601939,5
601288,6
688009,7
601668,8
601601,9
601899,10
601319,11
300896,12
603195,13
603392,14
601658,15
600919,16
601633,17
603369,18
601728,19
300760,20
601916,21
002027,22
600918,23
600050,24
600048,25
600104,26
603993,27
600015,28
601169,29
601901,30
601117,31
600999,32
600018,33
300759,34
002304,35
601186,36
601607,37
300498,38
601006,39
601878,40
000002,41
601881,42
600905,43
600000,44
300999,45
000876,46
002648,47
001979,48
600600,49
601077,50
