stock_id,rank
603392,1
603369,2
600600,3
601939,4
601919,5
601633,6
601916,7
601186,8
600886,9
601838,10
600674,11
601169,12
601878,13
601658,14
600809,15
601127,16
600918,17
300760,18
601728,19
601788,20
601766,21
688036,22
601881,23
600941,24
300832,25
600085,26
300498,27
600900,28
688506,29
601006,30
600377,31
601166,32
600919,33
002304,34
600011,35
600161,36
600025,37
000596,38
601607,39
688271,40
000963,41
600436,42
001391,43
605499,44
601136,45
601236,46
601456,47
600015,48
600104,49
601998,50
