stock_id,score,rank
000975,0.019428149,1
600426,-0.0004233122,2
600845,-0.008853033,3
002371,-0.015679754,4
002459,-0.024713509,5
002384,-0.024858847,6
600989,-0.029058725,7
300394,-0.049605843,8
603986,-0.050946884,9
688472,-0.058961134,10
300274,-0.05987324,11
002493,-0.06402061,12
688008,-0.06423339,13
000338,-0.06679802,14
600999,-0.0673212,15
601628,-0.068722636,16
000408,-0.07010747,17
601336,-0.074178174,18
600183,-0.075009115,19
300442,-0.07616584,20
600309,-0.08250782,21
601456,-0.082670316,22
300316,-0.084183455,23
300033,-0.08684804,24
601006,-0.091677815,25
600482,-0.091987796,26
600160,-0.09227119,27
000630,-0.09247392,28
002916,-0.09507866,29
300803,-0.09512617,30
600489,-0.09748409,31
601808,-0.098319955,32
601136,-0.09933931,33
000807,-0.09997269,34
603993,-0.10047202,35
000776,-0.100784525,36
600219,-0.10096391,37
000786,-0.100984156,38
600547,-0.10167843,39
601878,-0.10334451,40
601688,-0.10364698,41
000708,-0.1040075,42
601059,-0.104701884,43
300502,-0.1069269,44
601600,-0.108493835,45
600115,-0.109344624,46
688082,-0.11183651,47
603893,-0.115477264,48
000301,-0.11581571,49
688506,-0.11843093,50
600346,-0.12173153,51
001965,-0.12312197,52
688126,-0.12335157,53
600085,-0.12364124,54
688223,-0.124038815,55
600026,-0.12453099,56
600188,-0.1253145,57
601788,-0.12671079,58
688012,-0.12705903,59
300418,-0.12731697,60
300122,-0.12768212,61
300408,-0.12827243,62
601066,-0.12960505,63
300476,-0.13003758,64
002311,-0.13019975,65
603260,-0.13030851,66
000333,-0.1318486,67
600030,-0.13405919,68
603501,-0.13534972,69
002074,-0.13578598,70
002422,-0.13672556,71
002049,-0.13719821,72
601689,-0.13828993,73
688047,-0.13892594,74
601995,-0.13915153,75
603369,-0.14033458,76
605117,-0.14092013,77
601838,-0.14201987,78
300014,-0.14298436,79
688271,-0.14436877,80
002028,-0.14445704,81
600570,-0.14616634,82
000938,-0.14666899,83
