stock_id,rank
002384,1
300394,2
600522,3
605117,4
600176,5
601398,6
601872,7
601988,8
600875,9
000338,10
600026,11
300442,12
600482,13
601169,14
601658,15
600919,16
601818,17
603369,18
300832,19
601111,20
601288,21
000625,22
000596,23
601881,24
601127,25
002304,26
688036,27
601668,28
688303,29
601766,30
601998,31
605499,32
601728,33
601136,34
601688,35
601939,36
002027,37
000166,38
601058,39
600030,40
603392,41
601319,42
688506,43
600029,44
601916,45
601236,46
600009,47
600515,48
300502,49
600000,50
