stock_id,score,rank
688256,0.3154622,1
002460,0.3035726,2
002466,0.30091095,3
300308,0.29883903,4
300476,0.29679233,5
601138,0.2929946,6
600176,0.28995323,7
000408,0.28780758,8
300782,0.28444713,9
000338,0.28360528,10
002384,0.28316396,11
002938,0.27861297,12
688506,0.27768558,13
300502,0.27722552,14
600183,0.27639198,15
000938,0.27449647,16
300408,0.27116415,17
603986,0.2708488,18
300759,0.2704827,19
688041,0.26680672,20
002463,0.26602137,21
603296,0.2657231,22
601872,0.2656726,23
688472,0.26436847,24
688981,0.26398718,25
600111,0.26353934,26
300442,0.2634349,27
300750,0.25806907,28
603259,0.25793183,29
002709,0.25790095,30
603799,0.25767532,31
688223,0.2576712,32
600426,0.25720716,33
002371,0.2570962,34
688008,0.25708258,35
600188,0.2567929,36
300866,0.25677216,37
600522,0.25639898,38
603993,0.25612998,39
600482,0.25542295,40
688126,0.25510612,41
000977,0.2549776,42
600026,0.2544211,43
300661,0.2542585,44
300347,0.25385612,45
002648,0.25326982,46
002916,0.25261226,47
600875,0.25177747,48
600346,0.25163612,49
002493,0.2501425,50
300316,0.24960136,51
002050,0.24866578,52
002049,0.2475555,53
300014,0.24631071,54
600362,0.24297157,55
300394,0.24188086,56
300274,0.24174112,57
000807,0.23996407,58
688012,0.23976994,59
000792,0.2384322,60
688396,0.23623559,61
688303,0.23417139,62
002028,0.23282453,63
002001,0.23238051,64
002475,0.23091894,65
605117,0.2309084,66
688047,0.2308361,67
605499,0.22996756,68
603019,0.22946963,69
601100,0.22941476,70
603260,0.22857901,71
601689,0.22585082,72
000776,0.22525632,73
000630,0.22331935,74
600584,0.22204125,75
600233,0.22154978,76
002714,0.22069392,77
300033,0.21991977,78
600919,0.2198613,79
000301,0.2187249,80
000333,0.21808887,81
603893,0.21798268,82
600309,0.21574116,83
002074,0.21518272,84
688036,0.21457481,85
600460,0.2139171,86
601698,0.21368349,87
601998,0.21217686,88
601728,0.2111826,89
600547,0.20971256,90
688082,0.20724675,91
603501,0.20670533,92
301269,0.20652801,93
600989,0.20623773,94
600438,0.20509908,95
601225,0.20406637,96
688111,0.20400542,97
002142,0.2037679,98
601688,0.20263743,99
300832,0.20153138,100
601360,0.20093927,101
600010,0.20059022,102
601336,0.20044437,103
300418,0.20030844,104
600160,0.19957405,105
002241,0.19947013,106
000895,0.19929108,107
600690,0.19783947,108
002415,0.19669196,109
688169,0.19467929,110
300760,0.1945717,111
002459,0.19365013,112
300433,0.19358158,113
600489,0.19219849,114
601318,0.19103229,115
600276,0.19085917,116
600893,0.19060591,117
601058,0.18957007,118
600219,0.18700403,119
600588,0.18681315,120
600023,0.18678474,121
002230,0.1864863,122
600019,0.18643934,123
002920,0.18590307,124
000425,0.18583372,125
601628,0.18517977,126
601825,0.18347108,127
600150,0.18326399,128
601995,0.18301141,129
600089,0.17998335,130
600741,0.1789498,131
001979,0.17818543,132
000596,0.17712605,133
300124,0.17688596,134
601021,0.17453939,135
300059,0.1739665,136
600115,0.17390525,137
002601,0.17373624,138
601899,0.17364922,139
600048,0.17351928,140
601838,0.17346168,141
301236,0.17257151,142
600845,0.1721229,143
002625,0.17118758,144
603369,0.16945961,145
002736,0.16923907,146
300803,0.1691547,147
600030,0.16820085,148
600039,0.16814718,149
600031,0.16798595,150
300015,0.16749218,151
600809,0.16699079,152
601600,0.16526845,153
003816,0.16419418,154
300896,0.16349661,155
600515,0.16348247,156
601127,0.16323873,157
688187,0.16169155,158
002594,0.16073897,159
601298,0.16061696,160
000975,0.16049844,161
688271,0.16037795,162
300498,0.15969437,163
600027,0.15762284,164
601398,0.15743387,165
601009,0.15713051,166
600066,0.15704653,167
603288,0.15693146,168
600938,0.15408677,169
000983,0.15056276,170
600958,0.15009683,171
