stock_id,rank
300442,1
603392,2
601838,3
603369,4
601872,5
601881,6
601658,7
600918,8
601916,9
601456,10
601939,11
600600,12
601998,13
688036,14
601878,15
603195,16
601169,17
601728,18
688271,19
601633,20
601236,21
601825,22
600919,23
688506,24
603019,25
600025,26
600941,27
601166,28
300760,29
601766,30
688111,31
601211,32
601668,33
605499,34
601816,35
601127,36
600809,37
000975,38
601800,39
601607,40
688981,41
601328,42
000338,43
688303,44
600026,45
601919,46
600377,47
002304,48
601288,49
600522,50
