stock_id,rank
603392,1
601127,2
601766,3
603369,4
601728,5
601668,6
601916,7
601658,8
601328,9
600900,10
600941,11
600919,12
688506,13
601186,14
601618,15
600036,16
601398,17
601816,18
601939,19
300442,20
601919,21
688036,22
601881,23
600918,24
601006,25
601878,26
601818,27
601136,28
601169,29
300760,30
601838,31
688981,32
601456,33
601166,34
601872,35
300832,36
601988,37
601788,38
600600,39
601288,40
688012,41
601800,42
688271,43
688126,44
601236,45
600809,46
601211,47
688303,48
601998,49
300498,50
